Customer: 0 || prods: 46 || in queue 0.776 sec || total 0.861 sec || visited 2
Customer: 349 || prods: 43 || in queue 1.216 sec || total 1.244 sec || visited 1
Customer: 350 || prods: 30 || in queue 0.112 sec || total 0.175 sec || visited 1
Customer: 351 || prods: 89 || in queue 0.228 sec || total 0.344 sec || visited 1
Customer: 352 || prods: 84 || in queue 1.072 sec || total 1.124 sec || visited 1
Customer: 353 || prods: 1 || in queue 2.295 sec || total 2.351 sec || visited 3
Customer: 354 || prods: 31 || in queue 1.242 sec || total 1.362 sec || visited 1
Customer: 355 || prods: 94 || in queue 2.097 sec || total 2.278 sec || visited 1
Customer: 356 || prods: 6 || in queue 0.089 sec || total 0.146 sec || visited 1
Customer: 357 || prods: 75 || in queue 1.654 sec || total 1.688 sec || visited 2
Customer: 358 || prods: 74 || in queue 0.289 sec || total 0.453 sec || visited 1
Customer: 359 || prods: 82 || in queue 1.143 sec || total 1.154 sec || visited 1
Customer: 360 || prods: 96 || in queue 0.228 sec || total 0.392 sec || visited 1
Customer: 361 || prods: 78 || in queue 0.526 sec || total 0.576 sec || visited 2
Customer: 362 || prods: 48 || in queue 0.508 sec || total 0.575 sec || visited 1
Customer: 363 || prods: 91 || in queue 2.582 sec || total 2.777 sec || visited 2
Customer: 364 || prods: 83 || in queue 0.213 sec || total 0.259 sec || visited 1
Customer: 365 || prods: 83 || in queue 0.704 sec || total 0.740 sec || visited 1
Customer: 366 || prods: 65 || in queue 0.363 sec || total 0.545 sec || visited 1
Customer: 367 || prods: 31 || in queue 0.258 sec || total 0.379 sec || visited 1
Customer: 368 || prods: 17 || in queue 1.025 sec || total 1.185 sec || visited 1
Customer: 369 || prods: 29 || in queue 1.408 sec || total 1.456 sec || visited 3
Customer: 370 || prods: 83 || in queue 1.497 sec || total 1.668 sec || visited 3
Customer: 371 || prods: 31 || in queue 1.900 sec || total 2.088 sec || visited 1
Customer: 372 || prods: 49 || in queue 1.872 sec || total 1.982 sec || visited 1
Customer: 373 || prods: 33 || in queue 1.363 sec || total 1.555 sec || visited 2
Customer: 374 || prods: 86 || in queue 1.022 sec || total 1.221 sec || visited 1
Customer: 375 || prods: 19 || in queue 0.333 sec || total 0.462 sec || visited 1
Customer: 376 || prods: 55 || in queue 0.284 sec || total 0.388 sec || visited 1
Customer: 377 || prods: 2 || in queue 1.876 sec || total 1.973 sec || visited 1
Customer: 378 || prods: 20 || in queue 1.915 sec || total 2.055 sec || visited 1
Customer: 379 || prods: 20 || in queue 1.231 sec || total 1.264 sec || visited 2
Customer: 380 || prods: 13 || in queue 1.918 sec || total 2.042 sec || visited 1
Customer: 381 || prods: 3 || in queue 1.058 sec || total 1.104 sec || visited 1
Customer: 382 || prods: 1 || in queue 0.051 sec || total 0.144 sec || visited 1
Customer: 383 || prods: 79 || in queue 0.422 sec || total 0.503 sec || visited 1
Customer: 384 || prods: 84 || in queue 0.250 sec || total 0.296 sec || visited 1
Customer: 385 || prods: 5 || in queue 0.552 sec || total 0.563 sec || visited 2
Customer: 386 || prods: 69 || in queue 1.434 sec || total 1.510 sec || visited 3
Customer: 387 || prods: 74 || in queue 1.278 sec || total 1.410 sec || visited 2
Customer: 388 || prods: 82 || in queue 2.545 sec || total 2.593 sec || visited 2
Customer: 389 || prods: 76 || in queue 0.518 sec || total 0.653 sec || visited 1
Customer: 390 || prods: 51 || in queue 0.611 sec || total 0.804 sec || visited 1
Customer: 391 || prods: 19 || in queue 0.128 sec || total 0.201 sec || visited 1
Customer: 392 || prods: 12 || in queue 0.101 sec || total 0.138 sec || visited 1
Customer: 393 || prods: 39 || in queue 2.545 sec || total 2.703 sec || visited 2
Customer: 394 || prods: 21 || in queue 2.037 sec || total 2.053 sec || visited 1
Customer: 395 || prods: 55 || in queue 2.069 sec || total 2.145 sec || visited 1
Customer: 396 || prods: 13 || in queue 0.732 sec || total 0.832 sec || visited 1
Customer: 397 || prods: 44 || in queue 0.682 sec || total 0.757 sec || visited 1
Customer: 398 || prods: 76 || in queue 0.188 sec || total 0.322 sec || visited 1
Customer: 399 || prods: 80 || in queue 0.813 sec || total 0.946 sec || visited 1
Customer: 400 || prods: 68 || in queue 0.183 sec || total 0.334 sec || visited 1
Customer: 401 || prods: 61 || in queue 0.271 sec || total 0.364 sec || visited 1
Customer: 402 || prods: 21 || in queue 1.212 sec || total 1.336 sec || visited 1
Customer: 403 || prods: 37 || in queue 1.171 sec || total 1.248 sec || visited 2
Customer: 404 || prods: 25 || in queue 0.570 sec || total 0.718 sec || visited 1
Customer: 405 || prods: 96 || in queue 0.563 sec || total 0.632 sec || visited 1
Customer: 406 || prods: 21 || in queue 0.804 sec || total 0.827 sec || visited 1
Customer: 407 || prods: 61 || in queue 0.648 sec || total 0.804 sec || visited 1
Customer: 408 || prods: 5 || in queue 2.170 sec || total 2.355 sec || visited 1
Customer: 409 || prods: 25 || in queue 0.096 sec || total 0.117 sec || visited 1
Customer: 410 || prods: 7 || in queue 2.303 sec || total 2.489 sec || visited 1
Customer: 411 || prods: 77 || in queue 0.217 sec || total 0.252 sec || visited 1
Customer: 412 || prods: 86 || in queue 1.289 sec || total 1.301 sec || visited 1
Customer: 413 || prods: 29 || in queue 1.342 sec || total 1.496 sec || visited 1
Customer: 414 || prods: 64 || in queue 1.261 sec || total 1.402 sec || visited 1
Customer: 415 || prods: 64 || in queue 2.445 sec || total 2.596 sec || visited 1
Customer: 416 || prods: 49 || in queue 2.266 sec || total 2.299 sec || visited 1
Customer: 417 || prods: 11 || in queue 1.035 sec || total 1.217 sec || visited 1
Customer: 418 || prods: 48 || in queue 1.131 sec || total 1.149 sec || visited 1
Customer: 419 || prods: 69 || in queue 0.606 sec || total 0.708 sec || visited 1
Customer: 420 || prods: 78 || in queue 1.431 sec || total 1.500 sec || visited 1
Customer: 421 || prods: 39 || in queue 0.567 sec || total 0.602 sec || visited 1
Customer: 422 || prods: 99 || in queue 0.727 sec || total 0.791 sec || visited 1
Customer: 423 || prods: 28 || in queue 0.264 sec || total 0.386 sec || visited 1
Customer: 424 || prods: 72 || in queue 0.190 sec || total 0.284 sec || visited 1
Customer: 425 || prods: 80 || in queue 0.348 sec || total 0.530 sec || visited 1
Customer: 426 || prods: 90 || in queue 2.375 sec || total 2.526 sec || visited 1
Customer: 427 || prods: 76 || in queue 0.887 sec || total 0.917 sec || visited 1
Customer: 428 || prods: 95 || in queue 1.282 sec || total 1.450 sec || visited 1
Customer: 429 || prods: 86 || in queue 0.991 sec || total 1.057 sec || visited 1
Customer: 430 || prods: 65 || in queue 1.105 sec || total 1.222 sec || visited 1
Customer: 431 || prods: 30 || in queue 0.806 sec || total 0.913 sec || visited 1
Customer: 432 || prods: 84 || in queue 2.393 sec || total 2.552 sec || visited 1
Customer: 433 || prods: 39 || in queue 0.887 sec || total 1.037 sec || visited 1
Customer: 434 || prods: 25 || in queue 1.251 sec || total 1.382 sec || visited 1
Customer: 435 || prods: 12 || in queue 1.219 sec || total 1.231 sec || visited 1
Customer: 436 || prods: 45 || in queue 1.314 sec || total 1.357 sec || visited 1
Customer: 437 || prods: 65 || in queue 1.349 sec || total 1.446 sec || visited 1
Customer: 438 || prods: 59 || in queue 1.103 sec || total 1.228 sec || visited 1
Customer: 439 || prods: 18 || in queue 2.376 sec || total 2.492 sec || visited 1
Customer: 440 || prods: 60 || in queue 0.967 sec || total 0.982 sec || visited 1
Customer: 441 || prods: 83 || in queue 1.628 sec || total 1.695 sec || visited 2
Customer: 442 || prods: 29 || in queue 1.220 sec || total 1.416 sec || visited 1
Customer: 443 || prods: 46 || in queue 1.380 sec || total 1.405 sec || visited 1
Customer: 444 || prods: 51 || in queue 1.599 sec || total 1.746 sec || visited 1
Customer: 445 || prods: 56 || in queue 1.199 sec || total 1.233 sec || visited 1
Customer: 446 || prods: 12 || in queue 1.165 sec || total 1.338 sec || visited 2
Customer: 447 || prods: 80 || in queue 0.207 sec || total 0.236 sec || visited 1
Customer: 448 || prods: 64 || in queue 1.734 sec || total 1.861 sec || visited 2
Customer: 449 || prods: 69 || in queue 1.511 sec || total 1.614 sec || visited 2
Customer: 450 || prods: 97 || in queue 1.311 sec || total 1.440 sec || visited 1
Customer: 451 || prods: 79 || in queue 0.207 sec || total 0.333 sec || visited 1
Customer: 452 || prods: 12 || in queue 0.281 sec || total 0.406 sec || visited 1
Customer: 453 || prods: 99 || in queue 2.364 sec || total 2.526 sec || visited 1
Customer: 454 || prods: 33 || in queue 0.261 sec || total 0.332 sec || visited 1
Customer: 455 || prods: 77 || in queue 2.131 sec || total 2.234 sec || visited 1
Customer: 456 || prods: 17 || in queue 0.081 sec || total 0.157 sec || visited 1
Customer: 457 || prods: 6 || in queue 1.554 sec || total 1.673 sec || visited 1
Customer: 458 || prods: 50 || in queue 1.594 sec || total 1.770 sec || visited 1
Customer: 459 || prods: 51 || in queue 1.720 sec || total 1.908 sec || visited 1
Customer: 460 || prods: 31 || in queue 1.574 sec || total 1.634 sec || visited 1
Customer: 461 || prods: 52 || in queue 0.200 sec || total 0.367 sec || visited 1
Customer: 462 || prods: 19 || in queue 0.695 sec || total 0.874 sec || visited 2
Customer: 463 || prods: 46 || in queue 0.139 sec || total 0.217 sec || visited 1
Customer: 464 || prods: 19 || in queue 2.170 sec || total 2.345 sec || visited 1
Customer: 465 || prods: 58 || in queue 0.268 sec || total 0.308 sec || visited 1
Customer: 466 || prods: 9 || in queue 2.949 sec || total 3.068 sec || visited 2
Customer: 467 || prods: 19 || in queue 0.183 sec || total 0.280 sec || visited 1
Customer: 468 || prods: 22 || in queue 1.189 sec || total 1.201 sec || visited 1
Customer: 469 || prods: 3 || in queue 0.162 sec || total 0.249 sec || visited 1
Customer: 470 || prods: 60 || in queue 2.961 sec || total 3.019 sec || visited 3
Customer: 471 || prods: 75 || in queue 2.207 sec || total 2.387 sec || visited 1
Customer: 472 || prods: 75 || in queue 1.769 sec || total 1.964 sec || visited 2
Customer: 473 || prods: 89 || in queue 1.521 sec || total 1.628 sec || visited 1
Customer: 474 || prods: 64 || in queue 1.238 sec || total 1.250 sec || visited 1
Customer: 475 || prods: 64 || in queue 1.395 sec || total 1.414 sec || visited 1
Customer: 476 || prods: 70 || in queue 2.300 sec || total 2.414 sec || visited 1
Customer: 477 || prods: 54 || in queue 3.324 sec || total 3.488 sec || visited 2
Customer: 478 || prods: 55 || in queue 0.741 sec || total 0.786 sec || visited 2
Customer: 479 || prods: 0 || in queue 0.000 sec || total 0.154 sec || visited 0
Customer: 480 || prods: 86 || in queue 0.737 sec || total 0.925 sec || visited 1
Customer: 481 || prods: 9 || in queue 1.446 sec || total 1.523 sec || visited 1
Customer: 482 || prods: 99 || in queue 0.247 sec || total 0.343 sec || visited 1
Customer: 483 || prods: 70 || in queue 0.413 sec || total 0.533 sec || visited 1
Customer: 484 || prods: 96 || in queue 0.566 sec || total 0.726 sec || visited 1
Customer: 485 || prods: 64 || in queue 0.179 sec || total 0.191 sec || visited 2
Customer: 486 || prods: 33 || in queue 3.677 sec || total 3.746 sec || visited 2
Customer: 487 || prods: 37 || in queue 0.617 sec || total 0.703 sec || visited 1
Customer: 488 || prods: 10 || in queue 1.293 sec || total 1.371 sec || visited 1
Customer: 489 || prods: 97 || in queue 0.856 sec || total 0.960 sec || visited 1
Customer: 490 || prods: 54 || in queue 1.822 sec || total 1.893 sec || visited 2
Customer: 491 || prods: 92 || in queue 1.774 sec || total 1.832 sec || visited 2
Customer: 492 || prods: 62 || in queue 0.668 sec || total 0.681 sec || visited 1
Customer: 493 || prods: 32 || in queue 0.111 sec || total 0.164 sec || visited 1
Customer: 494 || prods: 93 || in queue 0.294 sec || total 0.353 sec || visited 1
Customer: 495 || prods: 35 || in queue 0.825 sec || total 0.897 sec || visited 1
Customer: 496 || prods: 7 || in queue 0.829 sec || total 0.960 sec || visited 1
Customer: 497 || prods: 19 || in queue 0.928 sec || total 1.033 sec || visited 2
Customer: 498 || prods: 27 || in queue 2.038 sec || total 2.118 sec || visited 2
Customer: 499 || prods: 77 || in queue 0.721 sec || total 0.732 sec || visited 1
Customer: 500 || prods: 25 || in queue 3.157 sec || total 3.169 sec || visited 2
Customer: 501 || prods: 53 || in queue 0.179 sec || total 0.377 sec || visited 1
Customer: 502 || prods: 84 || in queue 2.178 sec || total 2.236 sec || visited 2
Customer: 503 || prods: 58 || in queue 1.719 sec || total 1.842 sec || visited 2
Customer: 504 || prods: 8 || in queue 1.072 sec || total 1.116 sec || visited 2
Customer: 505 || prods: 53 || in queue 1.010 sec || total 1.133 sec || visited 1
Customer: 506 || prods: 80 || in queue 1.171 sec || total 1.279 sec || visited 1
Customer: 507 || prods: 40 || in queue 2.714 sec || total 2.781 sec || visited 2
Customer: 508 || prods: 17 || in queue 2.113 sec || total 2.204 sec || visited 2
Customer: 509 || prods: 59 || in queue 0.597 sec || total 0.645 sec || visited 1
Customer: 510 || prods: 79 || in queue 2.819 sec || total 2.853 sec || visited 2
Customer: 511 || prods: 23 || in queue 0.901 sec || total 0.913 sec || visited 1
Customer: 512 || prods: 40 || in queue 1.193 sec || total 1.258 sec || visited 1
Customer: 513 || prods: 21 || in queue 1.204 sec || total 1.336 sec || visited 1
Customer: 514 || prods: 22 || in queue 1.904 sec || total 1.986 sec || visited 2
Customer: 515 || prods: 96 || in queue 3.652 sec || total 3.779 sec || visited 2
Customer: 516 || prods: 44 || in queue 0.587 sec || total 0.602 sec || visited 1
Customer: 517 || prods: 19 || in queue 0.084 sec || total 0.116 sec || visited 1
Customer: 518 || prods: 15 || in queue 0.870 sec || total 0.914 sec || visited 2
Customer: 519 || prods: 9 || in queue 1.175 sec || total 1.220 sec || visited 1
Customer: 520 || prods: 63 || in queue 1.221 sec || total 1.322 sec || visited 2
Customer: 521 || prods: 64 || in queue 0.382 sec || total 0.438 sec || visited 1
Customer: 522 || prods: 4 || in queue 0.433 sec || total 0.600 sec || visited 1
Customer: 523 || prods: 31 || in queue 0.511 sec || total 0.545 sec || visited 1
Customer: 524 || prods: 59 || in queue 0.592 sec || total 0.684 sec || visited 1
Customer: 525 || prods: 38 || in queue 0.122 sec || total 0.266 sec || visited 1
Customer: 526 || prods: 44 || in queue 0.502 sec || total 0.694 sec || visited 1
Customer: 527 || prods: 75 || in queue 0.425 sec || total 0.439 sec || visited 1
Customer: 528 || prods: 69 || in queue 1.083 sec || total 1.136 sec || visited 1
Customer: 529 || prods: 82 || in queue 1.187 sec || total 1.336 sec || visited 1
Customer: 530 || prods: 76 || in queue 0.519 sec || total 0.630 sec || visited 1
Customer: 531 || prods: 24 || in queue 0.554 sec || total 0.592 sec || visited 1
Customer: 532 || prods: 96 || in queue 2.753 sec || total 2.939 sec || visited 2
Customer: 533 || prods: 24 || in queue 0.616 sec || total 0.761 sec || visited 1
Customer: 534 || prods: 71 || in queue 0.754 sec || total 0.952 sec || visited 1
Customer: 535 || prods: 4 || in queue 1.093 sec || total 1.286 sec || visited 1
Customer: 536 || prods: 9 || in queue 0.055 sec || total 0.103 sec || visited 1
Customer: 537 || prods: 25 || in queue 1.343 sec || total 1.354 sec || visited 1
Customer: 538 || prods: 63 || in queue 2.160 sec || total 2.210 sec || visited 2
Customer: 539 || prods: 55 || in queue 2.511 sec || total 2.527 sec || visited 2
Customer: 540 || prods: 63 || in queue 1.000 sec || total 1.037 sec || visited 2
Customer: 541 || prods: 69 || in queue 0.174 sec || total 0.343 sec || visited 1
Customer: 542 || prods: 34 || in queue 1.183 sec || total 1.195 sec || visited 1
Customer: 543 || prods: 23 || in queue 0.837 sec || total 0.852 sec || visited 1
Customer: 544 || prods: 42 || in queue 1.293 sec || total 1.315 sec || visited 1
Customer: 545 || prods: 62 || in queue 2.686 sec || total 2.775 sec || visited 2
Customer: 546 || prods: 5 || in queue 0.820 sec || total 0.922 sec || visited 2
Customer: 547 || prods: 82 || in queue 1.259 sec || total 1.397 sec || visited 1
Customer: 548 || prods: 38 || in queue 1.356 sec || total 1.422 sec || visited 1
Customer: 549 || prods: 18 || in queue 0.648 sec || total 0.782 sec || visited 1
Customer: 550 || prods: 28 || in queue 0.718 sec || total 0.887 sec || visited 1
Customer: 551 || prods: 39 || in queue 0.114 sec || total 0.176 sec || visited 1
Customer: 552 || prods: 58 || in queue 1.403 sec || total 1.507 sec || visited 1
Customer: 553 || prods: 71 || in queue 1.586 sec || total 1.696 sec || visited 1
Customer: 554 || prods: 24 || in queue 0.635 sec || total 0.752 sec || visited 2
Customer: 555 || prods: 9 || in queue 0.094 sec || total 0.150 sec || visited 1
Customer: 556 || prods: 89 || in queue 0.875 sec || total 1.044 sec || visited 1
Customer: 557 || prods: 18 || in queue 0.684 sec || total 0.774 sec || visited 1
Customer: 558 || prods: 78 || in queue 1.036 sec || total 1.154 sec || visited 1
Customer: 559 || prods: 87 || in queue 1.088 sec || total 1.225 sec || visited 1
Customer: 560 || prods: 15 || in queue 0.248 sec || total 0.308 sec || visited 2
Customer: 561 || prods: 4 || in queue 1.640 sec || total 1.692 sec || visited 1
Customer: 562 || prods: 30 || in queue 0.107 sec || total 0.191 sec || visited 1
Customer: 563 || prods: 39 || in queue 0.158 sec || total 0.262 sec || visited 1
Customer: 564 || prods: 56 || in queue 1.195 sec || total 1.223 sec || visited 1
Customer: 565 || prods: 43 || in queue 0.960 sec || total 1.113 sec || visited 1
Customer: 566 || prods: 10 || in queue 0.367 sec || total 0.554 sec || visited 1
Customer: 567 || prods: 43 || in queue 0.123 sec || total 0.139 sec || visited 1
Customer: 568 || prods: 42 || in queue 0.280 sec || total 0.342 sec || visited 1
Customer: 569 || prods: 70 || in queue 2.547 sec || total 2.558 sec || visited 1
Customer: 570 || prods: 31 || in queue 0.106 sec || total 0.234 sec || visited 1
Customer: 571 || prods: 72 || in queue 0.493 sec || total 0.601 sec || visited 1
Customer: 572 || prods: 48 || in queue 0.619 sec || total 0.676 sec || visited 1
Customer: 573 || prods: 22 || in queue 1.302 sec || total 1.378 sec || visited 1
Customer: 574 || prods: 14 || in queue 0.586 sec || total 0.740 sec || visited 1
Customer: 575 || prods: 45 || in queue 0.712 sec || total 0.870 sec || visited 1
Customer: 576 || prods: 55 || in queue 0.916 sec || total 1.094 sec || visited 1
Customer: 577 || prods: 93 || in queue 0.716 sec || total 0.733 sec || visited 1
Customer: 578 || prods: 29 || in queue 0.186 sec || total 0.379 sec || visited 1
Customer: 579 || prods: 10 || in queue 1.272 sec || total 1.283 sec || visited 1
Customer: 580 || prods: 63 || in queue 1.366 sec || total 1.445 sec || visited 1
Customer: 581 || prods: 71 || in queue 1.526 sec || total 1.594 sec || visited 1
Customer: 582 || prods: 76 || in queue 1.122 sec || total 1.133 sec || visited 1
Customer: 583 || prods: 11 || in queue 0.761 sec || total 0.792 sec || visited 1
Customer: 584 || prods: 28 || in queue 0.099 sec || total 0.192 sec || visited 1
Customer: 585 || prods: 57 || in queue 2.285 sec || total 2.426 sec || visited 1
Customer: 586 || prods: 83 || in queue 0.308 sec || total 0.503 sec || visited 1
Customer: 587 || prods: 28 || in queue 1.435 sec || total 1.561 sec || visited 1
Customer: 588 || prods: 61 || in queue 0.572 sec || total 0.592 sec || visited 1
Customer: 589 || prods: 55 || in queue 1.040 sec || total 1.166 sec || visited 1
Customer: 590 || prods: 13 || in queue 2.279 sec || total 2.368 sec || visited 1
Customer: 591 || prods: 3 || in queue 2.669 sec || total 2.782 sec || visited 2
Customer: 592 || prods: 37 || in queue 0.413 sec || total 0.490 sec || visited 1
Customer: 593 || prods: 39 || in queue 0.845 sec || total 1.019 sec || visited 1
Customer: 594 || prods: 70 || in queue 1.471 sec || total 1.661 sec || visited 1
Customer: 595 || prods: 84 || in queue 1.176 sec || total 1.262 sec || visited 1
Customer: 596 || prods: 80 || in queue 1.351 sec || total 1.412 sec || visited 1
Customer: 597 || prods: 80 || in queue 0.527 sec || total 0.607 sec || visited 1
Customer: 598 || prods: 74 || in queue 0.754 sec || total 0.834 sec || visited 1
Customer: 599 || prods: 43 || in queue 0.935 sec || total 1.036 sec || visited 1
Customer: 600 || prods: 47 || in queue 2.404 sec || total 2.551 sec || visited 1
Customer: 601 || prods: 87 || in queue 2.310 sec || total 2.411 sec || visited 1
Customer: 602 || prods: 92 || in queue 0.602 sec || total 0.771 sec || visited 1
Customer: 603 || prods: 37 || in queue 0.687 sec || total 0.881 sec || visited 1
Customer: 604 || prods: 48 || in queue 0.410 sec || total 0.550 sec || visited 1
Customer: 605 || prods: 17 || in queue 1.058 sec || total 1.197 sec || visited 1
Customer: 606 || prods: 65 || in queue 1.467 sec || total 1.610 sec || visited 1
Customer: 607 || prods: 75 || in queue 0.194 sec || total 0.372 sec || visited 1
Customer: 608 || prods: 33 || in queue 0.258 sec || total 0.401 sec || visited 1
Customer: 609 || prods: 16 || in queue 1.291 sec || total 1.350 sec || visited 1
Customer: 610 || prods: 45 || in queue 1.670 sec || total 1.852 sec || visited 1
Customer: 611 || prods: 67 || in queue 1.536 sec || total 1.661 sec || visited 1
Customer: 612 || prods: 19 || in queue 1.015 sec || total 1.139 sec || visited 1
Customer: 613 || prods: 63 || in queue 0.858 sec || total 0.879 sec || visited 1
Customer: 614 || prods: 87 || in queue 0.533 sec || total 0.707 sec || visited 1
Customer: 615 || prods: 77 || in queue 2.259 sec || total 2.375 sec || visited 1
Customer: 616 || prods: 99 || in queue 0.384 sec || total 0.490 sec || visited 1
Customer: 617 || prods: 44 || in queue 1.002 sec || total 1.119 sec || visited 1
Customer: 618 || prods: 33 || in queue 1.051 sec || total 1.222 sec || visited 1
Customer: 619 || prods: 96 || in queue 0.667 sec || total 0.768 sec || visited 1
Customer: 620 || prods: 37 || in queue 0.608 sec || total 0.784 sec || visited 1
Customer: 621 || prods: 56 || in queue 2.260 sec || total 2.456 sec || visited 1
Customer: 622 || prods: 73 || in queue 0.573 sec || total 0.756 sec || visited 1
Customer: 623 || prods: 8 || in queue 2.107 sec || total 2.199 sec || visited 1
Customer: 624 || prods: 86 || in queue 2.475 sec || total 2.575 sec || visited 1
Customer: 625 || prods: 21 || in queue 1.076 sec || total 1.105 sec || visited 1
Customer: 626 || prods: 61 || in queue 1.526 sec || total 1.608 sec || visited 1
Customer: 627 || prods: 6 || in queue 1.384 sec || total 1.435 sec || visited 1
Customer: 628 || prods: 31 || in queue 2.454 sec || total 2.597 sec || visited 1
Customer: 629 || prods: 98 || in queue 2.691 sec || total 2.794 sec || visited 1
Customer: 630 || prods: 76 || in queue 0.496 sec || total 0.607 sec || visited 1
Customer: 631 || prods: 33 || in queue 0.529 sec || total 0.635 sec || visited 1
Customer: 632 || prods: 48 || in queue 0.840 sec || total 1.014 sec || visited 1
Customer: 633 || prods: 25 || in queue 0.537 sec || total 0.548 sec || visited 1
Customer: 634 || prods: 61 || in queue 0.640 sec || total 0.706 sec || visited 1
Customer: 635 || prods: 9 || in queue 0.631 sec || total 0.733 sec || visited 1
Customer: 636 || prods: 91 || in queue 2.743 sec || total 2.904 sec || visited 1
Customer: 637 || prods: 88 || in queue 0.631 sec || total 0.710 sec || visited 1
Customer: 638 || prods: 49 || in queue 0.398 sec || total 0.562 sec || visited 1
Customer: 639 || prods: 8 || in queue 0.665 sec || total 0.677 sec || visited 1
Customer: 640 || prods: 60 || in queue 0.706 sec || total 0.794 sec || visited 1
Customer: 641 || prods: 41 || in queue 0.778 sec || total 0.803 sec || visited 1
Customer: 642 || prods: 89 || in queue 0.890 sec || total 1.017 sec || visited 1
Customer: 643 || prods: 11 || in queue 1.293 sec || total 1.309 sec || visited 1
Customer: 644 || prods: 48 || in queue 0.512 sec || total 0.679 sec || visited 1
Customer: 645 || prods: 4 || in queue 0.437 sec || total 0.536 sec || visited 1
Customer: 646 || prods: 70 || in queue 2.789 sec || total 2.800 sec || visited 1
Customer: 647 || prods: 41 || in queue 0.663 sec || total 0.699 sec || visited 1
Customer: 648 || prods: 15 || in queue 0.747 sec || total 0.883 sec || visited 1
Customer: 649 || prods: 84 || in queue 0.931 sec || total 1.087 sec || visited 1
Customer: 650 || prods: 58 || in queue 0.770 sec || total 0.819 sec || visited 1
Customer: 651 || prods: 76 || in queue 0.397 sec || total 0.414 sec || visited 1
Customer: 652 || prods: 53 || in queue 0.537 sec || total 0.707 sec || visited 1
Customer: 653 || prods: 82 || in queue 2.801 sec || total 2.813 sec || visited 1
Customer: 654 || prods: 50 || in queue 0.481 sec || total 0.507 sec || visited 1
Customer: 655 || prods: 91 || in queue 0.950 sec || total 0.987 sec || visited 1
Customer: 656 || prods: 52 || in queue 1.047 sec || total 1.083 sec || visited 1
Customer: 657 || prods: 33 || in queue 0.836 sec || total 1.028 sec || visited 1
Customer: 658 || prods: 86 || in queue 1.080 sec || total 1.185 sec || visited 1
Customer: 659 || prods: 63 || in queue 0.537 sec || total 0.644 sec || visited 1
Customer: 660 || prods: 80 || in queue 4.358 sec || total 4.513 sec || visited 2
Customer: 661 || prods: 57 || in queue 0.379 sec || total 0.472 sec || visited 1
Customer: 662 || prods: 99 || in queue 2.808 sec || total 2.836 sec || visited 1
Customer: 663 || prods: 83 || in queue 1.254 sec || total 1.365 sec || visited 1
Customer: 664 || prods: 94 || in queue 1.426 sec || total 1.602 sec || visited 1
Customer: 665 || prods: 37 || in queue 1.054 sec || total 1.086 sec || visited 1
Customer: 666 || prods: 2 || in queue 0.943 sec || total 1.118 sec || visited 1
Customer: 667 || prods: 45 || in queue 2.896 sec || total 2.909 sec || visited 1
Customer: 668 || prods: 14 || in queue 3.234 sec || total 3.284 sec || visited 2
Customer: 669 || prods: 72 || in queue 1.304 sec || total 1.388 sec || visited 3
Customer: 670 || prods: 22 || in queue 3.363 sec || total 3.500 sec || visited 3
Customer: 671 || prods: 56 || in queue 0.905 sec || total 0.963 sec || visited 1
Customer: 672 || prods: 17 || in queue 0.775 sec || total 0.815 sec || visited 1
Customer: 673 || prods: 8 || in queue 1.586 sec || total 1.676 sec || visited 2
Customer: 674 || prods: 74 || in queue 0.407 sec || total 0.509 sec || visited 1
Customer: 675 || prods: 96 || in queue 0.641 sec || total 0.747 sec || visited 1
Customer: 676 || prods: 7 || in queue 1.501 sec || total 1.591 sec || visited 2
Customer: 677 || prods: 32 || in queue 0.701 sec || total 0.806 sec || visited 1
Customer: 678 || prods: 18 || in queue 0.518 sec || total 0.610 sec || visited 1
Customer: 679 || prods: 77 || in queue 1.422 sec || total 1.476 sec || visited 1
Customer: 680 || prods: 41 || in queue 0.612 sec || total 0.639 sec || visited 1
Customer: 681 || prods: 45 || in queue 0.669 sec || total 0.765 sec || visited 1
Customer: 682 || prods: 15 || in queue 0.718 sec || total 0.791 sec || visited 1
Customer: 683 || prods: 45 || in queue 0.133 sec || total 0.169 sec || visited 1
Customer: 684 || prods: 39 || in queue 4.012 sec || total 4.053 sec || visited 2
Customer: 685 || prods: 15 || in queue 0.112 sec || total 0.241 sec || visited 1
Customer: 686 || prods: 68 || in queue 0.615 sec || total 0.795 sec || visited 1
Customer: 687 || prods: 4 || in queue 1.379 sec || total 1.522 sec || visited 1
Customer: 688 || prods: 54 || in queue 1.426 sec || total 1.463 sec || visited 1
Customer: 689 || prods: 66 || in queue 0.276 sec || total 0.325 sec || visited 1
Customer: 690 || prods: 66 || in queue 0.432 sec || total 0.548 sec || visited 1
Customer: 691 || prods: 2 || in queue 0.267 sec || total 0.373 sec || visited 1
Customer: 692 || prods: 91 || in queue 2.437 sec || total 2.605 sec || visited 2
Customer: 693 || prods: 70 || in queue 1.564 sec || total 1.757 sec || visited 2
Customer: 694 || prods: 91 || in queue 2.765 sec || total 2.939 sec || visited 3
Customer: 695 || prods: 31 || in queue 1.872 sec || total 1.944 sec || visited 2
Customer: 696 || prods: 0 || in queue 0.000 sec || total 0.042 sec || visited 0
Customer: 697 || prods: 43 || in queue 0.389 sec || total 0.486 sec || visited 1
